pair_id,a_id,a_stance,a_text,b_id,b_stance,b_text,label,note
pro82__pro15a,pro82,pro,Storage is safe and secure,pro15a,pro,Civil waste and spent fuel storage is robust.,none,
pro82__pro15b,pro82,pro,Storage is safe and secure,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,none,
pro82__pro95,pro82,pro,Storage is safe and secure,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,none,
pro82__pro36,pro82,pro,Storage is safe and secure,pro36,pro,"If external costs are accounted, nuclear is very competitive.",none,
pro82__pro32,pro82,pro,Storage is safe and secure,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
pro82__pro29,pro82,pro,Storage is safe and secure,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro82__pro29b,pro82,pro,Storage is safe and secure,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro82__con36,pro82,pro,Storage is safe and secure,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",both,worked example in guidelines. conclusions directly contradict (safe storage vs unresolved waste problem)
pro82__con27,pro82,pro,Storage is safe and secure,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,worked example in guidelines. different sub-topics (storage safety vs resource finiteness)
pro82__con27b,pro82,pro,Storage is safe and secure,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro82__con27c,pro82,pro,Storage is safe and secure,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro82__con140,pro82,pro,Storage is safe and secure,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro82__con140b,pro82,pro,Storage is safe and secure,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro82__con23,pro82,pro,Storage is safe and secure,con23,con,Building a plant with 100% security is technically impossible.,none,"strict object reading. B is about building a plant, A about waste storage"
pro82__con152,pro82,pro,Storage is safe and secure,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro82__con109,pro82,pro,Storage is safe and secure,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro82__con109b,pro82,pro,Storage is safe and secure,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro82__con9,pro82,pro,Storage is safe and secure,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,"Storage vs power plants"
pro82__con9b,pro82,pro,Storage is safe and secure,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,b_attacks_a,"B undermines A's safety claim, A does not rebut B"
pro82b__pro15a,pro82b,pro,Plans are well in hand for eventual disposal,pro15a,pro,Civil waste and spent fuel storage is robust.,none,
pro82b__pro15b,pro82b,pro,Plans are well in hand for eventual disposal,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,none,
pro82b__pro95,pro82b,pro,Plans are well in hand for eventual disposal,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,none,
pro82b__pro36,pro82b,pro,Plans are well in hand for eventual disposal,pro36,pro,"If external costs are accounted, nuclear is very competitive.",none,
pro82b__pro32,pro82b,pro,Plans are well in hand for eventual disposal,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
